name,periode,golongan
Hydrogen, 1, 1
Helium, 1, 18
Lithium, 2, 1
Beryllium, 2, 2
Boron, 2, 13
Carbon, 2, 14
Nitrogen, 2, 15
Oxygen, 2, 16
Fluorine, 2, 17
Neon, 2, 18
Sodium, 3, 1
Magnesium, 3, 2
Aluminum, 3, 13
Silicon, 3, 14
Phosphorus, 3, 15
Sulfur, 3, 16
Chlorine, 3, 17
Argon, 3, 18
Potassium, 4, 1
Calcium, 4, 2
Scandium, 4, 3
Titanium, 4, 4
Vanadium, 4, 5
Chromium, 4, 6
Manganese, 4, 7
Iron, 4, 8
Cobalt, 4, 9
Nickel, 4, 10
Copper, 4, 11
Zinc, 4, 12
Gallium, 4, 13
Germanium, 4, 14
Arsenic, 4, 15
Selenium, 4, 16
Bromine, 4, 17
Krypton, 4, 18
Rubidium, 5, 1
Strontium, 5, 2
Yttrium, 5, 3
Zirconium, 5, 4
Niobium, 5, 5
Molybdenum, 5, 6
Technetium, 5, 7
Ruthenium, 5, 8
Rhodium, 5, 9
Palladium, 5, 10
Silver, 5, 11
Cadmium, 5, 12
Indium, 5, 13
Tin, 5, 14
Antimony, 5, 15
Tellurium, 5, 16
Iodine, 5, 17
Xenon, 5, 18
Cesium, 6, 1
Barium, 6, 2
Lanthanum, 6, 3
Cerium, 6, 4
Praseodymium, 6, 5
Neodymium, 6, 6
Promethium, 6, 7
Samarium, 6, 8
Europium, 6, 9
Gadolinium, 6, 10
Terbium, 6, 11
Dysprosium, 6, 12
Holmium, 6, 13
Erbium, 6, 14
Thulium, 6, 15
Ytterbium, 6, 16
Lutetium, 6, 17
Hafnium, 6, 4
Tantalum, 6, 5
Tungsten, 6, 6
Rhenium, 6, 7
Osmium, 6, 8
Iridium, 6, 9
Platinum, 6, 10
Gold, 6, 11
Mercury, 6, 12
Thallium, 6, 13
Lead, 6, 14
Bismuth, 6, 15
Polonium, 6, 16
Astatine, 6, 17
Radon, 6, 18
Francium, 7, 1
Radium, 7, 2
Actinium, 7, 3
Thorium, 7, 4
Protactinium, 7, 5
Uranium, 7, 6
Neptunium, 7, 7
Plutonium, 7, 8
Americium, 7, 9
Curium, 7, 10
Berkelium, 7, 11
Californium, 7, 12
Einsteinium, 7, 13
Fermium, 7, 14
Mendelevium, 7, 15
Nobelium, 7, 16
Lawrencium, 7, 17
Rutherfordium, 7, 4
Dubnium, 7, 5
Seaborgium, 7, 6
Bohrium, 7, 7
Hassium, 7, 8
Meitnerium, 7, 9
Darmstadtium, 7, 10
Roentgenium, 7, 11
Copernicium, 7, 12
Nihonium, 7, 13
Flerovium, 7, 14
Moscovium, 7, 15
Livermorium, 7, 16
Tennessine, 7, 17
Oganesson, 7, 18
